event_id,winner,loser,weight_class,title_fight,true_method,round_end,time,outcome,fight_url
1,Royce Gracie,Patrick Smith,Open Weight,Yes,KO/TKO,1,1:17,win,http://www.ufcstats.com/fight-details/00835554f95fa911
1,Royce Gracie,Remco Pardoel,Open Weight,No,SUB,1,1:31,win,http://www.ufcstats.com/fight-details/aa161c7159741766
1,Patrick Smith,Johnny Rhodes,Open Weight,No,SUB,1,1:07,win,http://www.ufcstats.com/fight-details/8fbdde20b712b8da
1,Royce Gracie,Jason DeLucia,Open Weight,No,SUB,1,1:07,win,http://www.ufcstats.com/fight-details/5655639baecd8f6a
1,Remco Pardoel,Orlando Wiet,Open Weight,No,KO/TKO,1,1:29,win,http://www.ufcstats.com/fight-details/c4aa04781989699e
1,Johnny Rhodes,Fred Ettish,Open Weight,No,SUB,1,3:07,win,http://www.ufcstats.com/fight-details/b72acedda7ddc006
1,Patrick Smith,Scott Morris,Open Weight,No,KO/TKO,1,0:30,win,http://www.ufcstats.com/fight-details/8ea72cf82fac07f6
1,Royce Gracie,Minoki Ichihara,Open Weight,No,SUB,1,5:08,win,http://www.ufcstats.com/fight-details/fcd8e8ec45eb6b9f
1,Jason DeLucia,Scott Baker,Open Weight,No,SUB,1,6:41,win,http://www.ufcstats.com/fight-details/c53325be8ce33b8b
1,Remco Pardoel,Alberta Cerra Leon,Open Weight,No,SUB,1,9:51,win,http://www.ufcstats.com/fight-details/17ee4caf06981b81
1,Orlando Wiet,Robert Lucarelli,Open Weight,No,KO/TKO,1,2:50,win,http://www.ufcstats.com/fight-details/3b020d4914b44fc8
1,Frank Hamaker,Thaddeus Luster,Open Weight,No,SUB,1,4:52,win,http://www.ufcstats.com/fight-details/d917c8c7461b9831
1,Johnny Rhodes,David Levicki,Open Weight,No,KO/TKO,1,12:13,win,http://www.ufcstats.com/fight-details/ccee020be2e8d9f6
1,Patrick Smith,Ray Wizard,Open Weight,No,SUB,1,0:58,win,http://www.ufcstats.com/fight-details/4b9ae533ccb3fcdf
1,Scott Morris,Sean Daugherty,Open Weight,No,SUB,1,0:20,win,http://www.ufcstats.com/fight-details/4acab67848e78327
2,Steve Jennum,Harold Howard,Open Weight,Yes,KO/TKO,1,1:27,win,http://www.ufcstats.com/fight-details/323f543eb8abdb36
2,Ken Shamrock,Felix Lee Mitchell,Open Weight,No,SUB,1,4:34,win,http://www.ufcstats.com/fight-details/5167a5aec41f8b6d
2,Royce Gracie,Kimo Leopoldo,Open Weight,No,SUB,1,4:40,win,http://www.ufcstats.com/fight-details/f65b000b7e450bcf
2,Harold Howard,Roland Payne,Open Weight,No,KO/TKO,1,0:46,win,http://www.ufcstats.com/fight-details/ca837b002a318766
2,Ken Shamrock,Christophe Leninger,Open Weight,No,KO/TKO,1,4:49,win,http://www.ufcstats.com/fight-details/56315d5ac11594a5
2,Keith Hackney,Emmanuel Yarborough,Open Weight,No,KO/TKO,1,1:59,win,http://www.ufcstats.com/fight-details/8887948f0c097cd8
3,Royce Gracie,Dan Severn,Open Weight,Yes,SUB,1,15:49,win,http://www.ufcstats.com/fight-details/f29eec19aa5c1303
3,Dan Severn,Marcus Bossett,Open Weight,No,SUB,1,0:52,win,http://www.ufcstats.com/fight-details/e65a23b80c869456
3,Royce Gracie,Keith Hackney,Open Weight,No,SUB,1,5:32,win,http://www.ufcstats.com/fight-details/9c74c2758a2c7c2e
3,Dan Severn,Anthony Macias,Open Weight,No,SUB,1,1:45,win,http://www.ufcstats.com/fight-details/040ecf01338dff9e
3,Steve Jennum,Melton Bowen,Open Weight,No,SUB,1,4:47,win,http://www.ufcstats.com/fight-details/7e7d7a488ea21f63
3,Keith Hackney,Joe Son,Open Weight,No,SUB,1,2:44,win,http://www.ufcstats.com/fight-details/ccccc0a22b05eac6
3,Royce Gracie,Ron van Clief,Open Weight,No,SUB,1,3:49,win,http://www.ufcstats.com/fight-details/0b71ada6c9209fc9
3,Guy Mezger,Jason Fairn,Open Weight,No,KO/TKO,1,2:13,win,http://www.ufcstats.com/fight-details/8f8f47a728c3127e
3,Marcus Bossett,Eldo Xavier Dias,Open Weight,No,KO/TKO,1,4:55,win,http://www.ufcstats.com/fight-details/b80e6a799c95d499
3,Joe Charles,Kevin Rosier,Open Weight,No,SUB,1,0:14,win,http://www.ufcstats.com/fight-details/a1db4c917777aa79
4,Dan Severn,Dave Beneteau,Open Weight,Yes,SUB,1,3:01,win,http://www.ufcstats.com/fight-details/6ca94b35719eb300
4,Ken Shamrock,Royce Gracie,Open Weight,Yes,Other,2,5:00,draw,http://www.ufcstats.com/fight-details/db8df615610f3632
4,Dan Severn,Oleg Taktarov,Open Weight,No,KO/TKO,1,4:21,win,http://www.ufcstats.com/fight-details/cbf3fc8730b4ad09
4,Dave Beneteau,Todd Medina,Open Weight,No,KO/TKO,1,2:12,win,http://www.ufcstats.com/fight-details/db4c169722cf1e33
4,Dan Severn,Joe Charles,Open Weight,No,SUB,1,1:38,win,http://www.ufcstats.com/fight-details/2308e0da38efd4ba
4,Oleg Taktarov,Ernie Verdicia,Open Weight,No,SUB,1,2:23,win,http://www.ufcstats.com/fight-details/ebfe035b70080668
4,Todd Medina,Larry Cureton,Open Weight,No,SUB,1,2:55,win,http://www.ufcstats.com/fight-details/43c2c904e1574c59
4,Jon Hess,Andy Anderson,Open Weight,No,KO/TKO,1,1:23,win,http://www.ufcstats.com/fight-details/fa3b940bd48da7e2
4,Guy Mezger,John Dowdy,Open Weight,No,KO/TKO,1,2:02,win,http://www.ufcstats.com/fight-details/fa152ada833de1d4
4,Dave Beneteau,Asbel Cancio,Open Weight,No,KO/TKO,1,0:21,win,http://www.ufcstats.com/fight-details/802c0e4e228996ac
5,Oleg Taktarov,David Abbott,Open Weight,Yes,SUB,1,17:45,win,http://www.ufcstats.com/fight-details/66c029f49d3c5da6
5,Ken Shamrock,Dan Severn,Open Weight,Yes,SUB,1,2:14,win,http://www.ufcstats.com/fight-details/d62aec55bc142346
5,Oleg Taktarov,Anthony Macias,Open Weight,No,SUB,1,0:09,win,http://www.ufcstats.com/fight-details/3c2c7c095c79a506
5,David Abbott,Paul Varelans,Open Weight,No,KO/TKO,1,1:53,win,http://www.ufcstats.com/fight-details/43f6b0c40113d0d8
5,Oleg Taktarov,Dave Beneteau,Open Weight,No,SUB,1,0:57,win,http://www.ufcstats.com/fight-details/5d19fa2df1cb61a2
5,Patrick Smith,Rudyard Moncayo,Open Weight,No,SUB,1,1:08,win,http://www.ufcstats.com/fight-details/e2b32e1683a566af
5,Paul Varelans,Cal Worsham,Open Weight,No,KO/TKO,1,1:02,win,http://www.ufcstats.com/fight-details/547295977141cbc2
5,David Abbott,John Matua,Open Weight,No,KO/TKO,1,0:20,win,http://www.ufcstats.com/fight-details/88945d70ee6c6467
5,Anthony Macias,He-Man Gipson,Open Weight,No,KO/TKO,1,3:06,win,http://www.ufcstats.com/fight-details/8e03db41687d9132
5,Joel Sutton,Jack McGlaughlin,Open Weight,No,KO/TKO,1,2:01,win,http://www.ufcstats.com/fight-details/b297c3e938e1005e
6,Marco Ruas,Paul Varelans,Open Weight,Yes,KO/TKO,1,13:17,win,http://www.ufcstats.com/fight-details/e7ca291dd8f5661b
6,Ken Shamrock,Oleg Taktarov,Open Weight,Yes,Other,2,3:00,draw,http://www.ufcstats.com/fight-details/3932f8e9a74f3d11
6,Marco Ruas,Remco Pardoel,Open Weight,No,SUB,1,12:27,win,http://www.ufcstats.com/fight-details/99d98a2d278bfa1f
6,Paul Varelans,Mark Hall,Open Weight,No,SUB,1,1:01,win,http://www.ufcstats.com/fight-details/62bb4ea8bf86790c
6,Marco Ruas,Larry Cureton,Open Weight,No,SUB,1,3:23,win,http://www.ufcstats.com/fight-details/9ebb7bba0b45d517
6,Remco Pardoel,Ryan Parker,Open Weight,No,SUB,1,3:05,win,http://www.ufcstats.com/fight-details/ef2ccb690dcd943f
6,Mark Hall,Harold Howard,Open Weight,No,KO/TKO,1,1:41,win,http://www.ufcstats.com/fight-details/fcf632627ce40195
6,Paul Varelans,Gerry Harris,Open Weight,No,KO/TKO,1,1:05,win,http://www.ufcstats.com/fight-details/869d753568a114a6
