fighter_id,totalSigStrikes,totalSigStrikesAttempted,totalKnockdowns,totalTakedowns,totalTakedownsAttempted,totalControlSecs,totalTakedownPercentage,totalSigStrikePercentage,opponentSigStrikes,opponentControlTimeSecs,opponentTakedowns,opponentTotalTakedown,opponentTakedownPercentage,totalFights,totalFinishes,totalFightTimeSecs
229,1507,3373.0,14,8,12.0,2917.0,0.6666666666666666,0.44678327898013637,1424,3080.0,17,53.0,0.32075471698113206,42,11,24598
268,1501,3206.0,10,34,64.0,3412.0,0.53125,0.4681846537741734,1483,1898.0,21,55.0,0.38181818181818183,25,8,19105
408,861,1745.0,3,45,84.0,5480.0,0.5357142857142857,0.49340974212034383,941,3254.0,13,40.0,0.325,26,9,15403
457,1329,3577.0,6,75,183.0,8970.0,0.4098360655737705,0.3715403969807101,1112,2560.0,23,74.0,0.3108108108108108,37,7,25397
581,1081,2034.0,14,27,56.0,3721.0,0.48214285714285715,0.5314650934119961,766,5471.0,47,102.0,0.46078431372549017,30,15,16594
596,1492,2596.0,5,40,88.0,4442.0,0.45454545454545453,0.5747303543913713,870,1018.0,7,22.0,0.3181818181818182,24,12,21408
607,1478,3430.0,7,60,97.0,8092.0,0.6185567010309279,0.43090379008746355,1348,4102.0,29,52.0,0.5576923076923077,45,19,26068
612,1812,4230.0,5,71,153.0,8337.0,0.46405228758169936,0.42836879432624114,1702,7399.0,72,158.0,0.45569620253164556,36,9,31399
723,1227,2877.0,4,63,156.0,6927.0,0.40384615384615385,0.4264859228362878,1065,3950.0,28,76.0,0.3684210526315789,29,7,20774
735,1285,3202.0,4,38,94.0,3515.0,0.40425531914893614,0.40131168019987506,1076,1579.0,12,39.0,0.3076923076923077,23,3,17299
740,1154,2589.0,5,23,62.0,3996.0,0.3709677419354839,0.44573194283507145,1020,2572.0,17,74.0,0.22972972972972974,25,2,19355
750,775,1514.0,8,35,73.0,5259.0,0.4794520547945205,0.511889035667107,813,3788.0,26,54.0,0.48148148148148145,34,20,15587
773,1774,3871.0,16,20,37.0,3174.0,0.5405405405405406,0.4582795143373805,1431,1891.0,19,42.0,0.4523809523809524,30,9,21947
777,1423,3425.0,6,16,33.0,2577.0,0.48484848484848486,0.4154744525547445,1350,2802.0,18,52.0,0.34615384615384615,30,6,20703
791,1253,3119.0,8,6,19.0,529.0,0.3157894736842105,0.4017313241423533,1095,269.0,1,6.0,0.16666666666666666,20,3,14563
792,1668,3462.0,13,25,50.0,3857.0,0.5,0.48180242634315423,1382,4112.0,37,89.0,0.4157303370786517,31,15,19392
