id,fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo
0,229,Andrei Arlovski,Heavyweight,24,18,0,1546.225192219299,1822.172806511661
1,268,Robbie Lawler,Welterweight,15,10,0,1726.9283703813562,1837.5151598006803
2,408,Ed Herman,Middleweight,13,13,0,1545.158018890083,1611.5416754652774
3,457,Clay Guida,Lightweight,18,19,0,1516.7010812441413,1678.738031945633
4,581,Matt Brown,Welterweight,17,13,0,1645.074721215023,1729.876447354755
5,596,Jon Jones,Light Heavyweight,22,2,0,2098.4185824643887,2098.4185824643887
6,607,Jim Miller,Lightweight,28,17,0,1708.9591844208733,1778.9147331369509
7,612,Rafael Dos Anjos,Lightweight,21,15,0,1707.9586485445263,1849.011405720356
8,723,Darren Elkins,Lightweight,19,10,0,1664.9065192630555,1746.1888887149978
9,735,Court McGee,Middleweight,11,12,0,1503.8015947069728,1630.6426473118556
10,740,Brad Tavares,Middleweight,15,10,0,1595.4710718869358,1703.7439081366715
11,750,Charles Oliveira,Lightweight,23,11,0,1873.667971526327,1897.7305011573592
12,773,Edson Barboza,Lightweight,18,12,0,1679.4959955990216,1751.6020972508145
13,777,Michael Johnson,Lightweight,15,15,0,1561.5956353668598,1677.9140063308475
14,791,John Makdessi,Lightweight,11,9,0,1553.441488812619,1607.2660779665907
15,792,Dustin Poirier,Featherweight,22,9,0,1841.5376781084688,1890.49885190834
16,796,Rani Yahya,Featherweight,14,6,1,1628.9637659303148,1704.3179557345209
17,812,Chris Weidman,Middleweight,12,8,0,1679.8751952251955,1979.6315954329168
18,827,Chan Sung Jung,Featherweight,7,5,0,1688.7405048100925,1735.9604069679535
19,829,Alex Caceres,Featherweight,17,13,0,1598.663871439802,1634.250443058279
20,832,Jose Aldo,Featherweight,14,8,0,1782.205273551233,1910.9877010772063
21,838,Tony Ferguson,Welterweight,15,9,0,1667.9941195877868,1942.314109910704
22,881,Stipe Miocic,Heavyweight,14,5,0,1942.726219067099,2010.385252303363
23,886,Dustin Jacoby,Middleweight,8,6,1,1604.864964479718,1656.9744173285858
24,893,Cub Swanson,Featherweight,15,10,0,1650.3694593989408,1734.292758882077
25,924,Daniel Pineda,Featherweight,5,9,0,1456.7481823139797,1599.1888210274967
26,929,Max Holloway,Featherweight,22,8,0,1926.7158044441023,1962.753042000792
27,932,Stephen Thompson,Welterweight,12,8,1,1686.1715183700085,1792.7813041054894
28,936,Tim Means,Lightweight,15,15,0,1513.0619060784202,1648.5515439437795
29,956,Tim Elliott,Flyweight,9,11,0,1525.2221598360572,1539.4108141963145
30,962,Michael Chiesa,Lightweight,13,7,0,1726.6041075300243,1757.1902128568356
31,1009,Gunnar Nelson,Catch Weight,10,6,0,1676.067786509237,1714.0274070972516
32,1017,Robert Whittaker,Welterweight,17,6,0,1833.7270968588173,1878.4182263663208
33,1030,Vinc Pichel,Lightweight,7,4,0,1598.302731296506,1674.7891093819494
34,1039,King Green,Lightweight,14,12,1,1605.3811704437544,1673.429203880472
35,1045,Neil Magny,Welterweight,22,12,0,1689.7137831108885,1778.9481457154116
36,1051,Kyung Ho Kang,Bantamweight,8,6,0,1574.6076160745542,1649.862948561277
37,1057,Ilir Latifi,Light Heavyweight,9,7,0,1591.724437252543,1667.8723868941404
38,1065,Kelvin Gastelum,Middleweight,13,10,0,1669.5560503143488,1767.0198245278166
39,1068,Miesha Tate,Women's Bantamweight,7,6,0,1586.7536604550444,1646.9786948574936
40,1082,Jorge Masvidal,Lightweight,12,10,0,1711.359499817534,1772.6295877467262
41,1086,Ovince Saint Preux,Light Heavyweight,15,13,0,1560.193644349224,1709.8644770049748
42,1090,Kurt Holobaugh,Featherweight,2,6,0,1413.971480366906,1500.0
43,1104,Anthony Smith,Middleweight,13,11,0,1650.3535728704398,1756.4686288761511
