id,fight_id,fighter_id,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
1,1,1,0,4,100,11,1,50,0,0,NULL,3,0,1,0,1,3
2,1,2,0,1,50,2,0,NULL,0,0,NULL,0,1,0,0,1,0
3,2,1,0,0,NULL,0,1,50,1,0,NULL,0,0,0,0,0,0
4,2,3,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,0,0,0
5,3,2,0,5,41,5,0,NULL,1,0,NULL,1,2,2,3,2,0
6,3,4,0,4,44,4,0,NULL,0,0,NULL,2,0,2,4,0,0
7,4,1,0,0,NULL,0,0,NULL,1,1,NULL,0,0,0,0,0,0
8,4,5,0,0,NULL,0,1,100,0,0,NULL,0,0,0,0,0,0
9,5,3,0,7,100,7,1,100,0,0,NULL,7,0,0,0,0,7
10,5,6,0,1,50,5,0,NULL,0,0,NULL,0,0,1,1,0,0
11,6,4,1,13,44,21,0,NULL,1,0,NULL,12,0,1,3,1,9
12,6,7,0,4,57,7,0,NULL,0,0,NULL,0,2,2,4,0,0
13,7,2,0,13,76,19,0,NULL,0,0,NULL,12,1,0,0,1,12
14,7,8,0,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,0
15,8,1,0,2,50,110,1,100,2,0,NULL,0,0,2,2,0,0
16,8,9,0,3,42,12,0,NULL,0,0,NULL,3,0,0,0,0,3
17,9,5,0,3,60,20,0,0,5,4,NULL,1,1,1,2,0,1
18,9,10,0,0,0,14,1,100,0,2,NULL,0,0,0,0,0,0
19,10,3,0,4,66,20,1,100,1,0,NULL,4,0,0,0,0,4
20,10,11,0,1,33,9,0,NULL,0,0,NULL,1,0,0,1,0,0
21,11,6,0,8,66,11,0,NULL,0,0,NULL,7,1,0,1,0,7
22,11,12,0,2,33,2,1,100,1,0,NULL,1,0,1,2,0,0
23,12,13,0,2,66,14,1,100,3,1,NULL,2,0,0,1,0,1
24,12,14,0,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,0
25,13,4,0,11,64,74,1,100,0,0,NULL,9,1,1,1,1,9
26,13,15,0,4,80,95,0,NULL,0,0,NULL,4,0,0,1,2,1
27,14,2,0,1,100,1,0,0,1,0,NULL,0,1,0,0,1,0
