event_id,name,date
1,"UFC 2: No Way Out",1994-03-11
2,"UFC 3: The American Dream",1994-09-09
3,"UFC 4: Revenge of the Warriors",1994-12-16
4,"UFC 5: The Return of the Beast",1995-04-07
5,"UFC 6: Clash of the Titans",1995-07-14
6,"UFC 7: The Brawl in Buffalo",1995-09-08
7,"UFC - Ultimate Ultimate '95",1995-12-16
8,"UFC 8: David vs Goliath",1996-02-16
9,"UFC 9: Motor City Madness",1996-05-17
10,"UFC 10: The Tournament",1996-07-12
11,"UFC 11: The Proving Ground",1996-09-20
12,"UFC - Ultimate Ultimate '96",1996-12-07
13,"UFC 12: Judgement Day",1997-02-07
14,"UFC 13: The Ultimate Force",1997-05-30
15,"UFC 14: Showdown",1997-07-27
16,"UFC 15: Collision Course",1997-10-17
17,"UFC - Ultimate Japan",1997-12-21
18,"UFC 16: Battle in the Bayou",1998-03-13
19,"UFC 17: Redemption",1998-05-15
20,"UFC - Ultimate Brazil",1998-10-16
21,"UFC 18: The Road to the Heavyweight Title",1999-01-08
22,"UFC 19: Ultimate Young Guns",1999-03-05
23,"UFC 20: Battle for the Gold",1999-05-07
24,"UFC 21: Return of the Champions",1999-07-16
25,"UFC 22: Only One Can be Champion",1999-09-24
26,"UFC 23: Ultimate Japan 2",1999-11-19
27,"UFC 24: First Defense",2000-03-10
28,"UFC 25: Ultimate Japan 3",2000-04-14
29,"UFC 26: Ultimate Field Of Dreams",2000-06-09
30,"UFC 27: Ultimate Bad Boyz",2000-09-22
31,"UFC 28: High Stakes",2000-11-17
32,"UFC 29: Defense of the Belts",2000-12-16
33,"UFC 30: Battle on the Boardwalk",2001-02-23
34,"UFC 31: Locked and Loaded",2001-05-04
35,"UFC 32: Showdown in the Meadowlands",2001-06-29
36,"UFC 33: Victory in Vegas",2001-09-28
37,"UFC 34: High Voltage",2001-11-02
38,"UFC 35: Throwdown",2002-01-11
39,"UFC 36: Worlds Collide",2002-03-22
40,"UFC 37: High Impact",2002-05-10
41,"UFC 37.5: As Real As It Gets",2002-06-22
42,"UFC 38: Brawl at the Hall",2002-07-13
43,"UFC 39: The Warriors Return",2002-09-27
44,"UFC 40: Vendetta",2002-11-22
45,"UFC 41: Onslaught",2003-02-28
46,"UFC 42: Sudden Impact",2003-04-25
47,"UFC 43: Meltdown",2003-06-06
48,"UFC 44: Undisputed",2003-09-26
49,"UFC 45: Revolution",2003-11-21
50,"UFC 46: Supernatural",2004-01-31
51,"UFC 47: It's On!",2004-04-02
52,"UFC 48: Payback",2004-06-19
53,"UFC 49: Unfinished Business",2004-08-21
54,"UFC 50: The War Of '04",2004-10-22
55,"UFC 51: Super Saturday",2005-02-05
56,"The Ultimate Fighter: Team Couture vs. Team Liddell Finale",2005-04-09
57,"UFC 52: Couture vs Liddell 2",2005-04-16
58,"UFC 53: Heavy Hitters",2005-06-04
59,"UFC Fight Night 1",2005-08-06
60,"UFC 54: Boiling Point",2005-08-20
61,"UFC Fight Night 2",2005-10-03
62,"UFC 55: Fury",2005-10-07
63,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale",2005-11-05
64,"UFC 56: Full Force",2005-11-19
65,"UFC Fight Night 3",2006-01-16
66,"UFC 57: Liddell vs Couture 3",2006-02-04
67,"UFC 58: USA vs Canada",2006-03-04
68,"UFC Fight Night 4",2006-04-06
69,"UFC 59: Reality Check",2006-04-15
70,"UFC 60: Hughes vs Gracie",2006-05-27
71,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale",2006-06-24
72,"UFC Fight Night 5",2006-06-28
73,"UFC 61: Bitter Rivals",2006-07-08
74,"UFC Fight Night 6",2006-08-17
75,"UFC 62: Liddell vs Sobral",2006-08-26
76,"UFC 63: Hughes vs Penn",2006-09-23
77,"Ortiz vs Shamrock 3: The Final Chapter",2006-10-10
78,"UFC 64: Unstoppable",2006-10-14
79,"The Ultimate Fighter: The Comeback Finale",2006-11-11
80,"UFC 65: Bad Intentions",2006-11-18
81,"UFC Fight Night: Sanchez vs Riggs",2006-12-13
82,"UFC 66: Liddell vs Ortiz 2",2006-12-30
83,"UFC Fight Night: Evans vs Salmon",2007-01-25
84,"UFC 67: All or Nothing",2007-02-03
85,"UFC 68: The Uprising",2007-03-03
86,"UFC Fight Night: Stevenson vs Guillard",2007-04-05
87,"UFC 69: Shootout",2007-04-07
88,"UFC 70: Nations Collide",2007-04-21
89,"UFC 71: Liddell vs Jackson",2007-05-26
90,"UFC Fight Night: Stout vs Fisher",2007-06-12
91,"UFC 72: Victory",2007-06-16
92,"The Ultimate Fighter: Team Pulver vs. Team Penn Finale",2007-06-23
93,"UFC 73: Stacked",2007-07-07
94,"UFC 74: Respect",2007-08-25
95,"UFC 75: Champion vs Champion",2007-09-08
96,"UFC Fight Night: Thomas vs Florian",2007-09-19
97,"UFC 76: Knockout",2007-09-22
98,"UFC 77: Hostile Territory",2007-10-20
99,"UFC 78: Validation",2007-11-17
100,"The Ultimate Fighter: Team Hughes vs. Team Serra Finale",2007-12-08
101,"UFC 79: Nemesis",2007-12-29
102,"UFC 80: Rapid Fire",2008-01-19
103,"UFC Fight Night: Swick vs Burkman",2008-01-23
104,"UFC 81: Breaking Point",2008-02-02
105,"UFC 82: Pride of a Champion",2008-03-01
106,"UFC Fight Night: Florian vs Lauzon",2008-04-02
107,"UFC 83: Serra vs St-Pierre 2",2008-04-19
108,"UFC 84: Ill Will",2008-05-24
109,"UFC 85: Bedlam",2008-06-07
110,"The Ultimate Fighter: Team Rampage vs Team Forrest Finale",2008-06-21
111,"UFC 86: Jackson vs Griffin",2008-07-05
112,"UFC: Silva vs Irvin",2008-07-19
113,"UFC 87: Seek And Destroy",2008-08-09
114,"UFC 88: Breakthrough",2008-09-06
115,"UFC Fight Night: Diaz vs Neer",2008-09-17
116,"UFC 89: Bisping vs Leben",2008-10-18
117,"UFC 90: Silva vs Cote",2008-10-25
118,"UFC 91: Couture vs Lesnar",2008-11-15
119,"UFC Fight Night - Fight for the Troops",2008-12-10
120,"The Ultimate Fighter: Team Nogueira vs. Team Mir Finale",2008-12-13
121,"UFC 92: The Ultimate 2008",2008-12-27
122,"UFC 93: Franklin vs Henderson",2009-01-17
123,"UFC 94: St-Pierre vs Penn 2",2009-01-31
124,"UFC Fight Night: Lauzon vs Stephens",2009-02-07
125,"UFC 95: Sanchez vs Stevenson",2009-02-21
126,"UFC 96: Jackson vs Jardine",2009-03-07
127,"UFC Fight Night: Condit vs Kampmann",2009-04-01
128,"UFC 97: Redemption",2009-04-18
129,"UFC 98: Evans vs Machida",2009-05-23
130,"UFC 99: The Comeback",2009-06-13
131,"The Ultimate Fighter: United States vs. United Kingdom Finale",2009-06-20
132,"UFC 100",2009-07-11
133,"UFC 101: Declaration",2009-08-08
134,"UFC 102: Couture vs Nogueira",2009-08-29
135,"UFC Fight Night: Diaz vs Guillard",2009-09-16
136,"UFC 103: Franklin vs Belfort",2009-09-19
137,"UFC 104: Machida vs Shogun",2009-10-24
138,"UFC 105: Couture vs Vera",2009-11-14
139,"UFC 106: Ortiz vs Griffin 2",2009-11-21
140,"The Ultimate Fighter: Heavyweights Finale",2009-12-05
141,"UFC 107: Penn vs Sanchez",2009-12-12
142,"UFC 108: Evans vs Silva",2010-01-02
143,"UFC Fight Night: Maynard vs Diaz",2010-01-11
144,"UFC 109: Relentless",2010-02-06
145,"UFC 110: Nogueira vs Velasquez",2010-02-20
146,"UFC Live: Vera vs Jones",2010-03-21
147,"UFC 111: St-Pierre vs Hardy",2010-03-27
148,"UFC Fight Night: Florian vs Gomi",2010-03-31
149,"UFC 112: Invincible",2010-04-10
150,"UFC 113: Machida vs Shogun 2",2010-05-08
151,"UFC 114: Rampage vs Evans",2010-05-29
152,"UFC 115: Liddell vs Franklin",2010-06-12
153,"The Ultimate Fighter: Team Liddell vs Team Ortiz Finale",2010-06-19
154,"UFC 116: Lesnar vs Carwin",2010-07-03
155,"UFC Live: Jones vs Matyushenko",2010-08-01
156,"UFC 117: Silva vs Sonnen",2010-08-07
157,"UFC 118: Edgar vs Penn 2",2010-08-28
158,"UFC Fight Night: Marquardt vs Palhares",2010-09-15
159,"UFC 119: Mir vs Cro Cop",2010-09-25
160,"UFC 120: Bisping vs Akiyama",2010-10-16
161,"UFC 121: Lesnar vs Velasquez",2010-10-23
162,"UFC 122: Marquardt vs Okami",2010-11-13
163,"UFC 123: Rampage vs Machida",2010-11-20
164,"The Ultimate Fighter: Team GSP vs Team Koscheck Finale",2010-12-04
165,"UFC 124: St-Pierre vs Koscheck 2",2010-12-11
166,"UFC 125: Resolution",2011-01-01
167,"UFC Fight Night: Fight for the Troops 2",2011-01-22
168,"UFC 126: Silva vs Belfort",2011-02-05
169,"UFC 127: Penn vs Fitch",2011-02-26
170,"UFC Live: Sanchez vs Kampmann",2011-03-03
171,"UFC 128: Shogun vs Jones",2011-03-19
172,"UFC Fight Night: Nogueira vs Davis",2011-03-26
173,"UFC 129: St-Pierre vs Shields",2011-04-30
174,"UFC 130: Rampage vs Hamill",2011-05-28
175,"The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale",2011-06-04
176,"UFC 131: Dos Santos vs Carwin",2011-06-11
177,"UFC Live: Kongo vs Barry",2011-06-26
178,"UFC 132: Cruz vs Faber",2011-07-02
179,"UFC 133: Evans vs Ortiz 2",2011-08-06
180,"UFC Live: Hardy vs Lytle",2011-08-14
181,"UFC 134: Silva vs Okami",2011-08-27
182,"UFC Fight Night: Shields vs Ellenberger",2011-09-17
183,"UFC 135: Jones vs Rampage",2011-09-24
184,"UFC Live: Cruz vs Johnson",2011-10-01
185,"UFC 136: Edgar vs Maynard 3",2011-10-08
186,"UFC 137: Penn vs Diaz",2011-10-29
187,"UFC 138: Leben vs Munoz",2011-11-05
188,"UFC on FOX: Velasquez vs Dos Santos",2011-11-12
189,"UFC 139: Shogun vs Henderson",2011-11-19
190,"The Ultimate Fighter: Team Bisping vs Team Miller Finale",2011-12-03
191,"UFC 140: Jones vs Machida",2011-12-10
192,"UFC 141: Lesnar vs Overeem",2011-12-30
193,"UFC 142: Aldo vs Mendes",2012-01-14
194,"UFC on FX: Guillard vs Miller",2012-01-20
195,"UFC on FOX: Evans vs Davis",2012-01-28
196,"UFC 143: Diaz vs Condit",2012-02-04
197,"UFC on FUEL TV: Sanchez vs Ellenberger",2012-02-15
198,"UFC 144: Edgar vs Henderson",2012-02-25
199,"UFC on FX: Alves vs Kampmann",2012-03-02
200,"UFC on FUEL TV: Gustafsson vs Silva",2012-04-14
201,"UFC 145: Jones vs Evans",2012-04-21
202,"UFC on FOX: Diaz vs Miller",2012-05-05
203,"UFC on FUEL TV: Korean Zombie vs Poirier",2012-05-15
204,"UFC 146: Dos Santos vs Mir",2012-05-26
205,"The Ultimate Fighter: Live Finale",2012-06-01
206,"UFC on FX: Johnson vs McCall",2012-06-08
207,"UFC on FX: Maynard vs Guida",2012-06-22
208,"UFC 147: Silva vs Franklin 2",2012-06-23
